rank,latitude,longitude,count,share_of_map_eda_rows
487,25.035,55.155,364,0.05%
488,25.125,55.185,363,0.05%
489,25.035,55.445,360,0.05%
490,25.235,55.455,357,0.05%
491,24.985,55.205,357,0.05%
492,24.995,55.185,357,0.05%
493,25.135,55.355,356,0.05%
494,25.125,55.425,355,0.05%
495,25.075,55.165,355,0.05%
496,25.185,55.435,353,0.05%
497,25.185,55.415,352,0.05%
498,25.055,55.135,351,0.05%
499,25.245,55.485,351,0.05%
500,25.065,55.285,349,0.05%
