rank,acci_name_ar,acci_name_normalized,count,share
133,سقوط مركبة من ارتفاع - بسيط,سقوط مركبة من ارتفاع - بسيط,44,0.00006110
134,تعطل مثبت السرعة - بسيط,تعطل مثبت السرعة - بسيط,41,0.00005693
135,سقوط حاوية- بسيط,سقوط حاوية - بسيط,40,0.00005554
136,اصطدام بين حافلة نقل عمال ومركبة - بليغ,اصطدام بين حافلة نقل عمال ومركبة - بليغ,40,0.00005554
137,اصطدام بين حافلة مدرسية ومركبة - بسيط,اصطدام بين حافلة مدرسية ومركبة - بسيط,40,0.00005554
138,وجود حفرة في الطريق - بسيط,وجود حفرة في الطريق - بسيط,38,0.00005277
139,اصطدام بين حافلة نقل عمال ومركبة - بسيط,اصطدام بين حافلة نقل عمال ومركبة - بسيط,36,0.00004999
140,حادث تدهور مركبة ثقيلة- متوسط,حادث تدهور مركبة ثقيلة - متوسط,35,0.00004860
141,سقوط شخص من مركبة أثناء سيرها - بليغ,سقوط شخص من مركبة أثناء سيرها - بليغ,33,0.00004582
142,تم الغاء نوع الحدث1,تم الغاء نوع الحدث1,32,0.00004443
143,سقوط رافعة- بسيط,سقوط رافعة - بسيط,32,0.00004443
144,حادث صدم شجرة- بليغ,حادث صدم شجرة - بليغ,31,0.00004305
145,حادث صدم جدار- متوسط,حادث صدم جدار - متوسط,30,0.00004166
146,صدم حواجز - بليغ,صدم حواجز - بليغ,30,0.00004166
147,حادث صدم و هروب- متوسط,حادث صدم و هروب - متوسط,28,0.00003888
148,تم الغاء نوع الحدث 2,تم الغاء نوع الحدث 2,26,0.00003610
149,تدهور حافلة عمال أو موظفين - بسيط,تدهور حافلة عمال أو موظفين - بسيط,23,0.00003194
150,صدم حيوان - بليغ,صدم حيوان - بليغ,22,0.00003055
151,صدم إشارة ضوئية - بليغ,صدم إشارة ضوئية - بليغ,22,0.00003055
152,قيادة مركبة بدون رخصة,قيادة مركبة بدون رخصة,21,0.00002916
153,تدهور حافلة عمال أو موظفين - بليغ,تدهور حافلة عمال أو موظفين - بليغ,21,0.00002916
154,حادث صدم رصيف,حادث صدم رصيف,20,0.00002777
155,صدم علامة مرورية - بليغ,صدم علامة مرورية - بليغ,18,0.00002499
156,حادث صدم شجرة- متوسط,حادث صدم شجرة - متوسط,17,0.00002361
157,حادث صدم حيوان- بليغ,حادث صدم حيوان - بليغ,17,0.00002361
158,تدهور صهريج لمواد قابلة للاشتعال - بسيط,تدهور صهريج لمواد قابلة للاشتعال - بسيط,16,0.00002222
159,سقوط مركبة من ارتفاع- بسيط,سقوط مركبة من ارتفاع - بسيط,16,0.00002222
160,سقوط مركبة في حفرة- بليغ,سقوط مركبة في حفرة - بليغ,16,0.00002222
161,سقوط مركبة في حفرة - بليغ,سقوط مركبة في حفرة - بليغ,13,0.00001805
162,حادث صدم لوحة إرشادية,حادث صدم لوحة إرشادية,12,0.00001666
163,حادث تدهور باص عمال او موظفين- بسيط,حادث تدهور باص عمال او موظفين - بسيط,12,0.00001666
164,حادث تدهور باص عمال او موظفين- بليغ,حادث تدهور باص عمال او موظفين - بليغ,12,0.00001666
165,اصطدام بين حافلة مدرسية ومركبة - بليغ,اصطدام بين حافلة مدرسية ومركبة - بليغ,12,0.00001666
166,حادث صدم عمود,حادث صدم عمود,12,0.00001666
167,صدم باب - بليغ,صدم باب - بليغ,11,0.00001527
168,تعطل مثبت السرعة,تعطل مثبت السرعة,11,0.00001527
169,صدم مبنى - بليغ,صدم مبنى - بليغ,10,0.00001389
170,صدم مركبة عسكرية - بليغ,صدم مركبة عسكرية - بليغ,10,0.00001389
171,حادث صدم لوحة إرشادية- بليغ,حادث صدم لوحة إرشادية - بليغ,9,0.00001250
172,سقوط مركبة في حفرة- متوسط,سقوط مركبة في حفرة - متوسط,9,0.00001250
173,انفصال مقطورة عن مركبة أثناء سيرها,انفصال مقطورة عن مركبة أثناء سيرها,9,0.00001250
